qid,intent,system,query,ndcg5,mrr,recall5,prec5,ap10,elapsed_s,top1
Q04,semantic,semantic,probiotic supplement for digestive health,0.6343169226155623,1.0,0.1111111111111111,1.0,0.866388888888889,0.002569437026977539,B07C4QKBVY
Q04,semantic,search_base,probiotic supplement for digestive health,0.6477522099264775,1.0,0.1111111111111111,1.0,0.866388888888889,0.06568646430969238,B07C4QKBVY
Q04,semantic,search_v3,probiotic supplement for digestive health,0.6477522099264775,1.0,0.1111111111111111,1.0,0.866388888888889,0.06847500801086426,B07C4QKBVY
Q04,semantic,hybrid_v4,probiotic supplement for digestive health,0.5714548078419106,1.0,0.08888888888888889,0.8,0.8354365079365079,0.08722090721130371,B07C4QKBVY
Q05,semantic,bm25,natural deodorant aluminum free,0.6834865044592723,1.0,0.375,0.6,0.4464285714285714,0.010344743728637695,B07TN3W1KX
Q05,semantic,semantic,natural deodorant aluminum free,0.6642481750767993,1.0,0.375,0.6,0.3020833333333333,0.002290964126586914,B07TN3W1KX
Q05,semantic,search_base,natural deodorant aluminum free,0.6642481750767993,1.0,0.375,0.6,0.3020833333333333,0.06964445114135742,B07TN3W1KX
Q05,semantic,search_v3,natural deodorant aluminum free,0.4907104639457961,0.5,0.125,0.2,0.0625,0.07373499870300293,B01IAEWM8U
Q05,semantic,hybrid_v4,natural deodorant aluminum free,0.22953464402162546,0.16666666666666666,0.0,0.0,0.05654761904761904,0.08197331428527832,B01IAEWM8U
Q06,semantic,bm25,sunscreen for face spf 50,0.5594401368490773,1.0,0.16666666666666666,0.2,0.20370370370370372,0.012616157531738281,B07YBSGXFC
Q06,semantic,semantic,sunscreen for face spf 50,0.38289523111106333,1.0,0.16666666666666666,0.2,0.16666666666666666,0.0025708675384521484,B07YBSGXFC
Q06,semantic,search_base,sunscreen for face spf 50,0.27051296561346355,0.5,0.16666666666666666,0.2,0.08333333333333333,0.06927132606506348,B002ES6Z0K
Q06,semantic,search_v3,sunscreen for face spf 50,0.27051296561346355,0.5,0.16666666666666666,0.2,0.08333333333333333,0.06885671615600586,B002ES6Z0K
Q06,semantic,hybrid_v4,sunscreen for face spf 50,0.5594401368490773,1.0,0.16666666666666666,0.2,0.16666666666666666,0.0785982608795166,B07YBSGXFC
Q07,semantic,bm25,biotin supplement for hair growth,1.0,1.0,0.17857142857142858,1.0,1.0,0.014284133911132812,B08CPZ2MGN
Q07,semantic,semantic,biotin supplement for hair growth,0.8281227542004858,1.0,0.17857142857142858,1.0,0.89,0.003074169158935547,B00R880X2M
Q07,semantic,search_base,biotin supplement for hair growth,0.8415580415114009,1.0,0.17857142857142858,1.0,0.9,0.06353211402893066,B00R880X2M
Q07,semantic,search_v3,biotin supplement for hair growth,0.9250256699929476,1.0,0.17857142857142858,1.0,0.8788888888888889,0.05975604057312012,B00R880X2M
Q07,semantic,hybrid_v4,biotin supplement for hair growth,0.9030970842075382,1.0,0.17857142857142858,1.0,0.8,0.06932187080383301,B00R880X2M
Q08,semantic,bm25,electric toothbrush rechargeable,0.7058448886378986,1.0,0.05102040816326531,1.0,1.0,0.0072247982025146484,B08KG45NS1
Q08,semantic,semantic,electric toothbrush rechargeable,0.6477522099264775,1.0,0.05102040816326531,1.0,1.0,0.0025238990783691406,B07XTDZ97F
Q08,semantic,search_base,electric toothbrush rechargeable,0.8061941684150765,1.0,0.05102040816326531,1.0,1.0,0.057265520095825195,B07XTDZ97F
Q08,semantic,search_v3,electric toothbrush rechargeable,0.9030970842075382,1.0,0.05102040816326531,1.0,1.0,0.05872082710266113,B07GNWR1ZP
Q08,semantic,hybrid_v4,electric toothbrush rechargeable,0.8777221344374128,1.0,0.05102040816326531,1.0,1.0,0.06865859031677246,B07GNWR1ZP
Q09,semantic,bm25,collagen powder for skin and joints,0.7808192186449511,1.0,0.0847457627118644,1.0,1.0,0.012994766235351562,B07ST3CXG4
Q09,semantic,semantic,collagen powder for skin and joints,0.9030970842075382,1.0,0.0847457627118644,1.0,0.7532142857142856,0.002428770065307617,B07X824K8Y
Q09,semantic,search_base,collagen powder for skin and joints,0.7196802858636574,1.0,0.06779661016949153,0.8,0.6258730158730159,0.06937551498413086,B07X824K8Y
Q09,semantic,search_v3,collagen powder for skin and joints,0.4946185466287264,0.5,0.05084745762711865,0.6,0.5625396825396825,0.06711125373840332,B082L236K9
Q09,semantic,hybrid_v4,collagen powder for skin and joints,1.0,1.0,0.0847457627118644,1.0,1.0,0.07994484901428223,B07X824K8Y
Q10,semantic,bm25,essential oil diffuser aromatherapy,0.2919939894316615,0.5,0.02857142857142857,0.4,0.19444444444444445,0.010247468948364258,B07YYJGG71
Q10,semantic,semantic,essential oil diffuser aromatherapy,1.0,1.0,0.07142857142857142,1.0,0.8521031746031745,0.002688169479370117,B00VMC0BRM
Q10,semantic,search_base,essential oil diffuser aromatherapy,0.8848529619912747,1.0,0.07142857142857142,1.0,0.866388888888889,0.07004189491271973,B00VMC0BRM
Q10,semantic,search_v3,essential oil diffuser aromatherapy,0.8403080070928569,1.0,0.05714285714285714,0.8,0.8354365079365079,0.06915688514709473,B00VMC0BRM
Q10,semantic,hybrid_v4,essential oil diffuser aromatherapy,0.6961676269733493,1.0,0.05714285714285714,0.8,0.6018253968253967,0.08559632301330566,B010ITBPXS
Q11,price,bm25,affordable face cream for daily use,0.6120332992006363,1.0,0.08333333333333333,0.8,0.6361111111111111,0.017540693283081055,B0043N4BSC
Q11,price,semantic,affordable face cream for daily use,0.5549706843642549,1.0,0.08333333333333333,0.8,0.6242063492063492,0.0025446414947509766,B008NBESXS
Q11,price,search_base,affordable face cream for daily use,0.289013178874795,1.0,0.041666666666666664,0.4,0.26666666666666666,0.0727851390838623,B008NBESXS
Q11,price,search_v3,affordable face cream for daily use,0.289013178874795,1.0,0.041666666666666664,0.4,0.26666666666666666,0.07255792617797852,B008NBESXS
Q11,price,hybrid_v4,affordable face cream for daily use,0.24538379284023237,0.5,0.041666666666666664,0.4,0.19,0.08833432197570801,B01HNCUT0I
Q12,price,bm25,cheap toothpaste whitening,0.46330760591184034,1.0,0.14285714285714285,1.0,1.0,0.008649349212646484,B09QFNKNLQ
Q12,price,semantic,cheap toothpaste whitening,0.4396017199182606,1.0,0.08571428571428572,0.6,0.3571428571428571,0.0036535263061523438,B09JL17YH6
Q12,price,search_base,cheap toothpaste whitening,0.5354499923141196,1.0,0.11428571428571428,0.8,0.40499999999999997,0.0916602611541748,B09JL17YH6
Q12,price,search_v3,cheap toothpaste whitening,0.5560237049633472,1.0,0.11428571428571428,0.8,0.5630952380952381,0.08874320983886719,B09JL17YH6
Q12,price,hybrid_v4,cheap toothpaste whitening,0.5347079142490148,1.0,0.11428571428571428,0.8,0.7268253968253967,0.09862637519836426,B09JL17YH6
Q13,price,bm25,premium hair growth serum,0.0,0.125,0.0,0.0,0.0125,0.01199197769165039,B00IJHJIA4
Q13,price,semantic,premium hair growth serum,0.0,0.0,0.0,0.0,0.0,0.0025615692138671875,B00IJHJIA4
Q13,price,search_base,premium hair growth serum,0.0,0.0,0.0,0.0,0.0,0.07925558090209961,B07BYHR9TZ
Q13,price,search_v3,premium hair growth serum,0.0,0.0,0.0,0.0,0.0,0.07085442543029785,B07BYHR9TZ
Q13,price,hybrid_v4,premium hair growth serum,0.0,0.0,0.0,0.0,0.0,0.0830070972442627,B07BYHR9TZ
Q14,price,bm25,budget multivitamin daily,0.6762133787668818,1.0,0.18518518518518517,1.0,0.9,0.008797883987426758,B09DLW2XX4
Q14,price,semantic,budget multivitamin daily,0.7381941711356502,1.0,0.14814814814814814,0.8,0.5630952380952381,0.0029001235961914062,B082FSCYCP
Q14,price,search_base,budget multivitamin daily,0.0,0.0,0.0,0.0,0.0,0.07155895233154297,B01IAI0BV6
Q14,price,search_v3,budget multivitamin daily,0.0,0.0,0.0,0.0,0.0,0.07016324996948242,B01IAI0BV6
Q14,price,hybrid_v4,budget multivitamin daily,0.0,0.0,0.0,0.0,0.0,0.0884256362915039,B00CM6ZHNU
Q15,negation,bm25,sleep aid without melatonin,0.1626640851006452,0.3333333333333333,0.0136986301369863,0.2,0.06190476190476191,0.010639429092407227,B085X863KB
Q15,negation,semantic,sleep aid without melatonin,0.31835243547374625,1.0,0.0273972602739726,0.4,0.2,0.0033385753631591797,B00RY8HUOK
Q15,negation,search_base,sleep aid without melatonin,0.29279535318116134,1.0,0.0273972602739726,0.4,0.16666666666666666,0.068756103515625,B00RY8HUOK
Q15,negation,search_v3,sleep aid without melatonin,0.03253281702012904,0.16666666666666666,0.0,0.0,0.03666666666666667,0.07187461853027344,B013T6R37Y
Q15,negation,hybrid_v4,sleep aid without melatonin,0.11825870054054863,0.14285714285714285,0.0,0.0,0.0365079365079365,0.08559441566467285,B085X863KB
Q16,negation,bm25,shampoo without sulfate,0.2620045784218241,0.16666666666666666,0.0,0.0,0.016666666666666666,0.006738185882568359,B000J40H46
Q16,negation,semantic,shampoo without sulfate,0.4104889601851253,1.0,0.09090909090909091,0.2,0.13333333333333333,0.0026025772094726562,B00NQ2HVBU
Q16,negation,search_base,shampoo without sulfate,0.32703966649239957,0.5,0.09090909090909091,0.2,0.08333333333333333,0.05691862106323242,B07V7HCYKR
Q16,negation,search_v3,shampoo without sulfate,0.4582447440047413,0.5,0.18181818181818182,0.4,0.09,0.06632328033447266,B07V7HCYKR
Q16,negation,hybrid_v4,shampoo without sulfate,0.5453092190767764,0.5,0.18181818181818182,0.4,0.14999999999999997,0.07456231117248535,B07V7HCYKR
Q17,negation,bm25,moisturizer fragrance free for sensitive skin,0.13120507751234178,0.2,0.03333333333333333,0.2,0.04857142857142857,0.017122507095336914,B00FIWMGC0
Q17,negation,semantic,moisturizer fragrance free for sensitive skin,0.04868944994756881,0.14285714285714285,0.0,0.0,0.014285714285714285,0.0028655529022216797,B007FG1ZT2
Q17,negation,search_base,moisturizer fragrance free for sensitive skin,0.0,0.1,0.0,0.0,0.01,0.06657838821411133,B075D1KDFN
Q17,negation,search_v3,moisturizer fragrance free for sensitive skin,0.0,0.125,0.0,0.0,0.0125,0.07141828536987305,B007FG1ZT2
Q17,negation,hybrid_v4,moisturizer fragrance free for sensitive skin,0.23642122833884657,0.2,0.03333333333333333,0.2,0.05333333333333333,0.08886289596557617,B007FG1ZT2
Q18,negation,bm25,deodorant aluminum free unscented,0.7323665865188884,1.0,0.4444444444444444,0.8,0.4444444444444444,0.011173486709594727,B07ZFZW7BV
Q18,negation,semantic,deodorant aluminum free unscented,0.7420128817394331,1.0,0.4444444444444444,0.8,0.4222222222222222,0.0025217533111572266,B01IAEWM8U
Q18,negation,search_base,deodorant aluminum free unscented,0.7624826972795136,1.0,0.4444444444444444,0.8,0.4444444444444444,0.07477378845214844,B01IAEWM8U
Q18,negation,search_v3,deodorant aluminum free unscented,0.6799362445973298,1.0,0.2222222222222222,0.4,0.2222222222222222,0.07185101509094238,B01IAEWM8U
Q18,negation,hybrid_v4,deodorant aluminum free unscented,0.3551165672285621,1.0,0.1111111111111111,0.2,0.17222222222222222,0.08683514595031738,B01IAEWM8U
Q19,negation,bm25,vitamin c serum no parabens,0.14606834984270645,0.25,0.08333333333333333,0.2,0.025,0.010482072830200195,B006DH7EIU
Q19,negation,semantic,vitamin c serum no parabens,0.7112741403342752,1.0,0.25,0.6,0.3922222222222222,0.004207611083984375,B086RY3P9K
Q19,negation,search_base,vitamin c serum no parabens,0.8869465982421278,1.0,0.3333333333333333,0.8,0.4175,0.07036495208740234,B08GST6CL3
Q19,negation,search_v3,vitamin c serum no parabens,0.9026211001048622,1.0,0.3333333333333333,0.8,0.46333333333333326,0.07867145538330078,B08GST6CL3
Q19,negation,hybrid_v4,vitamin c serum no parabens,0.7895676983469901,1.0,0.25,0.6,0.38916666666666666,0.09154725074768066,B08GST6CL3
Q20,dosage,bm25,vitamin d3 5000 iu,1.0,1.0,0.25,1.0,1.0,0.011015176773071289,B08GL1KD3Z
Q20,dosage,semantic,vitamin d3 5000 iu,0.6922948496317057,1.0,0.2,0.8,0.49833333333333324,0.003207683563232422,B01346PWE0
Q20,dosage,search_base,vitamin d3 5000 iu,0.7084851350554612,1.0,0.2,0.8,0.46333333333333326,0.07548022270202637,B01346PWE0
Q20,dosage,search_v3,vitamin d3 5000 iu,0.7323665865188884,1.0,0.2,0.8,0.4,0.07540512084960938,B082T25T2Q
Q20,dosage,hybrid_v4,vitamin d3 5000 iu,0.8227149188007639,1.0,0.25,1.0,0.6,0.09095239639282227,B082T25T2Q
Q21,dosage,bm25,magnesium 400mg capsules,0.8994167599480843,1.0,0.2222222222222222,0.8,0.8154365079365078,0.009810209274291992,B07RYB8X9J
Q21,dosage,semantic,magnesium 400mg capsules,0.4346713758946004,0.3333333333333333,0.16666666666666666,0.6,0.20999999999999996,0.002613544464111328,B000GCS8L0
Q21,dosage,search_base,magnesium 400mg capsules,0.3948246595922834,0.5,0.1111111111111111,0.4,0.19285714285714287,0.07484793663024902,B010TNA18I
Q21,dosage,search_v3,magnesium 400mg capsules,0.5449431188864663,1.0,0.05555555555555555,0.2,0.1,0.07744002342224121,B07RYB8X9J
Q21,dosage,hybrid_v4,magnesium 400mg capsules,0.6617166443621376,1.0,0.1111111111111111,0.4,0.16666666666666666,0.08963298797607422,B07RYB8X9J
Q22,dosage,bm25,fish oil omega 3 1000mg,0.8196294557259916,1.0,0.16666666666666666,1.0,0.9,0.013436079025268555,B01AO27TLQ
Q22,dosage,semantic,fish oil omega 3 1000mg,0.522289373791666,1.0,0.1,0.6,0.6708730158730158,0.0033490657806396484,B07ZPC31KD
Q22,dosage,search_base,fish oil omega 3 1000mg,0.7446551257189392,1.0,0.16666666666666666,1.0,0.866388888888889,0.07778477668762207,B07ZPC31KD
Q22,dosage,search_v3,fish oil omega 3 1000mg,0.41786852909121563,0.5,0.1,0.6,0.24333333333333332,0.07191753387451172,B07KYJQX9G
Q22,dosage,hybrid_v4,fish oil omega 3 1000mg,0.7469522688816453,1.0,0.13333333333333333,0.8,0.355,0.08800911903381348,B01AO27TLQ
Q23,semantic,bm25,help me fall asleep at night,0.5000176164860974,1.0,0.03333333333333333,0.8,0.4625,0.014398813247680664,B00656Z4IG
Q23,semantic,semantic,help me fall asleep at night,0.39582794607263655,1.0,0.025,0.6,0.3826984126984127,0.0037789344787597656,B00RY8HUOK
Q23,semantic,search_base,help me fall asleep at night,0.4179139275841161,1.0,0.025,0.6,0.44642857142857145,0.08736157417297363,B00RY8HUOK
Q23,semantic,search_v3,help me fall asleep at night,0.2557519624582246,1.0,0.008333333333333333,0.2,0.16666666666666666,0.08796882629394531,B0040IJJ82
Q23,semantic,hybrid_v4,help me fall asleep at night,0.34429403314080154,1.0,0.016666666666666666,0.4,0.27194444444444443,0.1017758846282959,B0040IJJ82
Q24,semantic,bm25,stop my hair from falling out,0.04911726110135709,0.1,0.0,0.0,0.01,0.016730308532714844,B0041OL5SW
Q24,semantic,semantic,stop my hair from falling out,0.3419743257635235,0.5,0.18181818181818182,0.4,0.11666666666666665,0.0028514862060546875,B005GHJCX8
Q24,semantic,search_base,stop my hair from falling out,0.12387607896584732,0.2,0.09090909090909091,0.2,0.02,0.08211565017700195,B07LFXRPMZ
Q24,semantic,search_v3,stop my hair from falling out,0.1774678940646964,0.5,0.09090909090909091,0.2,0.05,0.07802367210388184,B07LFXRPMZ
Q24,semantic,hybrid_v4,stop my hair from falling out,0.3804366871876392,1.0,0.18181818181818182,0.4,0.16666666666666666,0.08900141716003418,B008KPZT1W
Q25,semantic,bm25,soothe my dry cracked hands,0.401760926634776,1.0,0.04,0.4,0.1875,0.01335453987121582,B088LCFKJX
Q25,semantic,semantic,soothe my dry cracked hands,0.6004486743709427,1.0,0.1,1.0,0.6875,0.003317117691040039,B071K5SNHK
Q25,semantic,search_base,soothe my dry cracked hands,0.7058448886378986,1.0,0.1,1.0,0.788888888888889,0.08264374732971191,B088LCFKJX
Q25,semantic,search_v3,soothe my dry cracked hands,0.7058448886378986,1.0,0.1,1.0,0.7675,0.074249267578125,B088LCFKJX
Q25,semantic,hybrid_v4,soothe my dry cracked hands,0.48709935195084586,1.0,0.06,0.6,0.37964285714285717,0.08957886695861816,B088LCFKJX
Q26,semantic,bm25,relieve joint pain naturally,0.8196294557259916,1.0,0.04807692307692308,1.0,0.8,0.011684894561767578,B017WYCJ14
Q26,semantic,semantic,relieve joint pain naturally,0.522289373791666,1.0,0.028846153846153848,0.6,0.5908730158730158,0.0028977394104003906,B017WYCJ14
Q26,semantic,search_base,relieve joint pain naturally,0.5133621291304895,1.0,0.038461538461538464,0.8,0.6468253968253967,0.0703423023223877,B08QQZKV9Z
Q26,semantic,search_v3,relieve joint pain naturally,0.4618119443377077,1.0,0.038461538461538464,0.8,0.6268253968253967,0.0802161693572998,B08QQZKV9Z
Q26,semantic,hybrid_v4,relieve joint pain naturally,0.5254743443638903,1.0,0.04807692307692308,1.0,0.7327777777777778,0.09858036041259766,B08QQZKV9Z
Q27,semantic,bm25,boost my energy in the morning,0.4285714285714286,1.0,0.032679738562091505,1.0,1.0,0.017676591873168945,B01HFN2OW6
Q27,semantic,semantic,boost my energy in the morning,0.21889315152921798,1.0,0.006535947712418301,0.2,0.15857142857142856,0.002874612808227539,B09D2Y17D6
Q27,semantic,search_base,boost my energy in the morning,0.24148324064196264,0.5,0.013071895424836602,0.4,0.09,0.07243180274963379,B09JDTH97K
Q27,semantic,search_v3,boost my energy in the morning,0.2079288586365133,0.3333333333333333,0.013071895424836602,0.4,0.07333333333333333,0.07406997680664062,B002R882CQ
Q27,semantic,hybrid_v4,boost my energy in the morning,0.2142988324923839,0.3333333333333333,0.013071895424836602,0.4,0.16527777777777777,0.0933535099029541,B002R882CQ
Q28,semantic,bm25,help me lose weight naturally,0.3341302910032583,1.0,0.030303030303030304,0.4,0.15,0.014171600341796875,B0128EWMJW
Q28,semantic,semantic,help me lose weight naturally,0.03892450849189045,0.16666666666666666,0.0,0.0,0.07857142857142856,0.0029718875885009766,B09KNRDVLD
Q28,semantic,search_base,help me lose weight naturally,0.4144265809393858,1.0,0.030303030303030304,0.4,0.27749999999999997,0.07847404479980469,B07CC5XBC9
Q28,semantic,search_v3,help me lose weight naturally,0.5329058980973146,0.5,0.06060606060606061,0.8,0.3430952380952381,0.08368945121765137,B016XPOWG8
Q28,semantic,hybrid_v4,help me lose weight naturally,0.4658504047293708,0.5,0.045454545454545456,0.6,0.3814285714285714,0.10018038749694824,B016XPOWG8
Q29,brand,bm25,gnc supplement vitamin,0.7369550334663222,1.0,0.5,0.4,0.41666666666666663,0.00912618637084961,B01675T21E
Q29,brand,semantic,gnc supplement vitamin,0.613064960635973,1.0,0.25,0.2,0.4083333333333333,0.002955913543701172,B084641GCW
Q29,brand,search_base,gnc supplement vitamin,0.7089194055617978,1.0,0.5,0.4,0.35,0.0678567886352539,B084641GCW
Q29,brand,search_v3,gnc supplement vitamin,0.7089194055617978,1.0,0.5,0.4,0.35,0.0672760009765625,B084641GCW
Q29,brand,hybrid_v4,gnc supplement vitamin,0.7089194055617978,1.0,0.5,0.4,0.44375,0.08841252326965332,B084641GCW
Q30,brand,bm25,glade air freshener home,0.7323665865188884,1.0,0.3076923076923077,0.8,0.5225,0.011584758758544922,B0BTLP552N
Q30,brand,semantic,glade air freshener home,0.6922948496317057,1.0,0.3076923076923077,0.8,0.5133333333333333,0.003434419631958008,B07516WWLW
Q30,brand,search_base,glade air freshener home,0.8443019660324382,1.0,0.38461538461538464,1.0,0.6,0.11492919921875,B07516WWLW
Q30,brand,search_v3,glade air freshener home,0.8227149188007639,1.0,0.38461538461538464,1.0,0.645,0.11070942878723145,B07516WWLW
Q30,brand,hybrid_v4,glade air freshener home,0.8090683751073771,1.0,0.38461538461538464,1.0,0.78,0.13264179229736328,B07516WWLW
Q31,brand,bm25,dr scholls foot care insole,0.47036528278595785,1.0,0.3333333333333333,0.4,0.30476190476190473,0.016882896423339844,B0BMW8SNX4
Q31,brand,semantic,dr scholls foot care insole,0.5087403079104241,1.0,0.3333333333333333,0.4,0.27777777777777773,0.0031113624572753906,B000GCIB0I
Q31,brand,search_base,dr scholls foot care insole,0.48522855511632257,1.0,0.3333333333333333,0.4,0.25,0.10342073440551758,B000GCIB0I
Q31,brand,search_v3,dr scholls foot care insole,0.33916020527361607,1.0,0.16666666666666666,0.2,0.16666666666666666,0.11988139152526855,B000GCIB0I
Q31,brand,hybrid_v4,dr scholls foot care insole,0.33916020527361607,1.0,0.16666666666666666,0.2,0.16666666666666666,0.10366988182067871,B000GCIB0I
Q32,semantic,bm25,razor blades for sensitive skin men,0.43738191049838093,1.0,0.033707865168539325,0.6,0.4925,0.018662691116333008,B087D29JNH
Q32,semantic,semantic,razor blades for sensitive skin men,0.683692977204325,1.0,0.0449438202247191,0.8,0.696111111111111,0.0030527114868164062,B09PD2NP5P
Q32,semantic,search_base,razor blades for sensitive skin men,0.7203853417898409,1.0,0.033707865168539325,0.6,0.5580952380952381,0.08301401138305664,B09R1J7GZK
Q32,semantic,search_v3,razor blades for sensitive skin men,0.7294064891954564,1.0,0.033707865168539325,0.6,0.5830952380952381,0.0873880386352539,B09R1J7GZK
Q32,semantic,hybrid_v4,razor blades for sensitive skin men,0.8357926221960373,1.0,0.056179775280898875,1.0,0.8521031746031745,0.09871888160705566,B09R1J7GZK
Q33,semantic,bm25,best sunscreen for swimming and sports,0.20803518926146267,0.3333333333333333,0.3333333333333333,0.2,0.1111111111111111,0.020600318908691406,B0871S6555
Q33,semantic,semantic,best sunscreen for swimming and sports,0.4697230431691693,1.0,0.3333333333333333,0.2,0.3333333333333333,0.0035583972930908203,B07YBSGXFC
Q33,semantic,search_base,best sunscreen for swimming and sports,0.322241767569368,0.5,0.3333333333333333,0.2,0.16666666666666666,0.07523822784423828,B002ES6Z0K
Q33,semantic,search_v3,best sunscreen for swimming and sports,0.30218948627194553,0.25,0.3333333333333333,0.2,0.08333333333333333,0.07655525207519531,B002ES6Z0K
Q33,semantic,hybrid_v4,best sunscreen for swimming and sports,0.45485397221040474,0.5,0.3333333333333333,0.2,0.16666666666666666,0.09214568138122559,B01D4ZIOAA
Q34,semantic,bm25,scalp treatment for dandruff,0.6886039320648765,1.0,0.38461538461538464,1.0,0.7763888888888889,0.01316523551940918,B005GHJCX8
Q34,semantic,semantic,scalp treatment for dandruff,0.7947246441884293,1.0,0.3076923076923077,0.8,0.5380952380952382,0.0029125213623046875,B005GHJCX8
Q34,semantic,search_base,scalp treatment for dandruff,0.784489736418389,1.0,0.3076923076923077,0.8,0.53,0.07833480834960938,B005GHJCX8
Q34,semantic,search_v3,scalp treatment for dandruff,0.8832264745243287,1.0,0.3076923076923077,0.8,0.42642857142857143,0.07887649536132812,B008KPZT1W
Q34,semantic,hybrid_v4,scalp treatment for dandruff,1.0,1.0,0.38461538461538464,1.0,0.7675,0.08982634544372559,B008KPZT1W
Q35,semantic,bm25,lip balm with spf protection,0.8869465982421278,1.0,0.3333333333333333,0.8,0.4705555555555555,0.014300823211669922,B07GSJ36FN
Q35,semantic,semantic,lip balm with spf protection,0.541694037697467,1.0,0.16666666666666666,0.4,0.30964285714285716,0.0035953521728515625,B07GSJ36FN
Q35,semantic,search_base,lip balm with spf protection,0.7112741403342752,1.0,0.25,0.6,0.35583333333333333,0.06735491752624512,B07GSJ36FN
Q35,semantic,search_v3,lip balm with spf protection,0.7261374126646398,1.0,0.25,0.6,0.37976190476190474,0.06942033767700195,B07GSJ36FN
Q35,semantic,hybrid_v4,lip balm with spf protection,0.7698724385020871,1.0,0.25,0.6,0.4279761904761905,0.10492467880249023,B07GSJ36FN
Q36,semantic,bm25,best supplement for women over 40,0.3064107405195436,0.5,0.01,0.2,0.10222222222222221,0.01878070831298828,B00ISAUV2Q
Q36,semantic,semantic,best supplement for women over 40,0.48811138193756815,1.0,0.01,0.2,0.16607142857142856,0.003749370574951172,B01MU2THIW
Q36,semantic,search_base,best supplement for women over 40,0.16174285170544084,0.0,0.0,0.0,0.0,0.07828998565673828,B000Y9LXNU
Q36,semantic,search_v3,best supplement for women over 40,0.1843821566693812,0.0,0.0,0.0,0.0,0.08239293098449707,B000Y9LXNU
Q36,semantic,hybrid_v4,best supplement for women over 40,0.176544905738014,0.16666666666666666,0.0,0.0,0.016666666666666666,0.09827637672424316,B00ISAUV2Q
Q37,semantic,bm25,kids vitamin gummies daily,0.8050102282292517,1.0,0.05102040816326531,1.0,1.0,0.0111846923828125,B09DLW2XX4
Q37,semantic,semantic,kids vitamin gummies daily,0.7630543794998468,1.0,0.05102040816326531,1.0,0.9,0.002925872802734375,B09DLW2XX4
Q37,semantic,search_base,kids vitamin gummies daily,0.8050102282292517,1.0,0.05102040816326531,1.0,1.0,0.08291864395141602,B09DLW2XX4
Q37,semantic,search_v3,kids vitamin gummies daily,0.90976723004651,1.0,0.05102040816326531,1.0,1.0,0.08268880844116211,B0872KHDY6
Q37,semantic,hybrid_v4,kids vitamin gummies daily,0.8050102282292517,1.0,0.05102040816326531,1.0,1.0,0.09457898139953613,B09DLW2XX4
