qid,intent,verdict,sem_asin,sem_sim,sem_quality,sem_popularity,sem_rel,base_asin,base_sim,base_quality,base_popularity,base_rel,delta_sim,delta_quality,delta_popularity
Q15,negation,same,B00RY8HUOK,0.6529095,0.612014978465319,0.1401893977500879,2,B00RY8HUOK,0.6529095,0.612014978465319,0.1401893977500879,2,0.0,0.0,0.0
Q16,negation,BASE_REGRESSED,B00NQ2HVBU,0.5482856,0.712152511510238,0.4714966660684054,2,B07V7HCYKR,0.53812134,0.7783462493349446,0.5389487681863666,1,-0.010164261,0.06619373782470661,0.06745210211796121
Q17,negation,swap_no_impact,B007FG1ZT2,0.616103,0.8493510782375606,0.0765026059253966,0,B075D1KDFN,0.5967997,0.8156026203914426,0.999999998162342,0,-0.019303322,-0.03374845784611802,0.9234973922369454
Q18,negation,same,B01IAEWM8U,0.7327493,0.8709915845167967,0.1401893977500879,2,B01IAEWM8U,0.7327493,0.8709915845167967,0.1401893977500879,2,0.0,0.0,0.0
Q19,negation,swap_no_impact,B086RY3P9K,0.61137867,0.753191488720688,0.0765026059253966,2,B08GST6CL3,0.5992379,0.7100613048410584,0.7232477181716502,2,-0.012140751,-0.043130183879629524,0.6467451122462536
Q20,dosage,same,B01346PWE0,0.7921422,0.759850313691272,0.264251666046968,2,B01346PWE0,0.7921422,0.759850313691272,0.264251666046968,2,0.0,0.0,0.0
Q21,dosage,swap_no_impact,B000GCS8L0,0.736835,0.8642837249411077,0.1947443860777137,1,B010TNA18I,0.73017514,0.7702916445688024,0.7765298019172137,1,-0.0066598654,-0.09399208037230533,0.5817854158394999
Q22,dosage,same,B07ZPC31KD,0.7334005,0.7123080411798712,0.1947443860777137,3,B07ZPC31KD,0.7334005,0.7123080411798712,0.1947443860777137,3,0.0,0.0,0.0
Q23,semantic,same,B00RY8HUOK,0.552439,0.612014978465319,0.1401893977500879,2,B00RY8HUOK,0.552439,0.612014978465319,0.1401893977500879,2,0.0,0.0,0.0
Q24,semantic,same,B005GHJCX8,0.49586818,0.5621487634596968,0.2424609028304074,1,B005GHJCX8,0.49586818,0.5621487634596968,0.2424609028304074,1,0.0,0.0,0.0
Q25,semantic,swap_no_impact,B071K5SNHK,0.50481385,0.8462425509726028,0.1401893977500879,2,B088LCFKJX,0.49650848,0.8122152537813834,0.999999998162342,3,-0.008305371,-0.03402729719121944,0.8598106004122541
Q26,semantic,swap_no_impact,B017WYCJ14,0.5819125,0.6977362111032895,0.5389487681863666,3,B08QQZKV9Z,0.5619599,0.8397141800225101,0.7357483321153738,2,-0.019952595,0.14197796891922054,0.19679956392900722
Q27,semantic,BASE_REGRESSED,B09D2Y17D6,0.47096354,0.7578011560989036,0.6381776827503383,2,B09JDTH97K,0.4658936,0.7026600879797833,0.999999998162342,1,-0.0050699413,-0.05514106811912034,0.3618223154120037
Q28,semantic,BASE_IMPROVED,B09KNRDVLD,0.38266575,0.3108295558596128,0.4188289814375345,0,B07CC5XBC9,0.33427036,0.7504704002876297,0.999999998162342,2,-0.048395395,0.4396408444280169,0.5811710167248074
Q29,brand,same,B084641GCW,0.67066,0.8573063807504208,0.4044410637970561,2,B084641GCW,0.67066,0.8573063807504208,0.4044410637970561,2,0.0,0.0,0.0
Q30,brand,same,B07516WWLW,0.7075113,0.781749382367953,0.1947443860777137,2,B07516WWLW,0.7075113,0.781749382367953,0.1947443860777137,2,0.0,0.0,0.0
Q31,brand,same,B000GCIB0I,0.7328467,0.7438733930595627,0.4953315873629311,2,B000GCIB0I,0.7328467,0.7438733930595627,0.4953315873629311,2,0.0,0.0,0.0
Q32,semantic,swap_no_impact,B09PD2NP5P,0.67097497,0.5191489357283838,0.0765026059253966,2,B09R1J7GZK,0.66673225,0.7704350987401959,0.5590183791876224,3,-0.004242718,0.25128616301181206,0.48251577326222583
Q33,semantic,BASE_REGRESSED,B07YBSGXFC,0.6126612,0.4656301141700038,0.1684419185107776,2,B002ES6Z0K,0.5620052,0.7304488387117449,0.8423357463255022,0,-0.05065596,0.26481872454174116,0.6738938278147246
Q34,semantic,same,B005GHJCX8,0.6782206,0.5621487634596968,0.2424609028304074,2,B005GHJCX8,0.6782206,0.5621487634596968,0.2424609028304074,2,0.0,0.0,0.0
Q35,semantic,same,B07GSJ36FN,0.79425097,0.8671973742998259,0.1096743506564017,2,B07GSJ36FN,0.79425097,0.8671973742998259,0.1096743506564017,2,0.0,0.0,0.0
Q36,semantic,BASE_REGRESSED,B01MU2THIW,0.5614445,0.6874233257651052,0.1947443860777137,2,B01L9WIHOS,0.55824065,0.7984933784242197,0.264251666046968,0,-0.0032038689,0.11107005265911452,0.0695072799692543
Q37,semantic,same,B09DLW2XX4,0.7587355,0.7021276589769125,0.1096743506564017,3,B09DLW2XX4,0.7587355,0.7021276589769125,0.1096743506564017,3,0.0,0.0,0.0
