qid,intent,query,bm25,hybrid_v4,search_base,search_v3,semantic,winner,margin
Q26,semantic,relieve joint pain naturally,0.8196294557259916,0.5254743443638903,0.5133621291304895,0.4618119443377077,0.522289373791666,bm25,0.3578175113882838
Q27,semantic,boost my energy in the morning,0.4285714285714286,0.2142988324923839,0.2414832406419626,0.2079288586365133,0.2188931515292179,bm25,0.2206425699349153
Q28,semantic,help me lose weight naturally,0.3341302910032583,0.4658504047293708,0.4144265809393858,0.5329058980973146,0.0389245084918904,search_v3,0.4939813896054242
Q29,brand,gnc supplement vitamin,0.7369550334663222,0.7089194055617978,0.7089194055617978,0.7089194055617978,0.613064960635973,bm25,0.12389007283034914
Q30,brand,glade air freshener home,0.7323665865188884,0.8090683751073771,0.8443019660324382,0.8227149188007639,0.6922948496317057,search_base,0.1520071164007325
Q31,brand,dr scholls foot care insole,0.4703652827859578,0.339160205273616,0.4852285551163225,0.339160205273616,0.5087403079104241,semantic,0.16958010263680812
Q32,semantic,razor blades for sensitive skin men,0.4373819104983809,0.8357926221960373,0.7203853417898409,0.7294064891954564,0.683692977204325,hybrid_v4,0.39841071169765646
Q33,semantic,best sunscreen for swimming and sports,0.2080351892614626,0.4548539722104047,0.322241767569368,0.3021894862719455,0.4697230431691693,semantic,0.26168785390770666
Q34,semantic,scalp treatment for dandruff,0.6886039320648765,1.0,0.784489736418389,0.8832264745243287,0.7947246441884293,hybrid_v4,0.31139606793512353
Q35,semantic,lip balm with spf protection,0.8869465982421278,0.7698724385020871,0.7112741403342752,0.7261374126646398,0.541694037697467,bm25,0.3452525605446608
Q36,semantic,best supplement for women over 40,0.3064107405195436,0.176544905738014,0.1617428517054408,0.1843821566693812,0.4881113819375681,semantic,0.3263685302321273
Q37,semantic,kids vitamin gummies daily,0.8050102282292517,0.8050102282292517,0.8050102282292517,0.90976723004651,0.7630543794998468,search_v3,0.14671285054666316
